date,weapon_class,total_launched,total_destroyed,n_records,interception_rate
2022-09-29,SHAHED,7.0,5.0,1,0.7142857142857143
2022-10-01,EXCLUDED,1.0,1.0,1,1.0
2022-10-02,SHAHED,7.0,5.0,1,0.7142857142857143
2022-10-05,EXCLUDED,1.0,1.0,1,1.0
2022-10-05,SHAHED,1.0,1.0,1,1.0
2022-10-06,EXCLUDED,1.0,1.0,1,1.0
2022-10-06,SHAHED,5.0,5.0,2,1.0
2022-10-06,UNKNOWN,2.0,2.0,2,1.0
2022-10-07,SHAHED,3.0,3.0,1,1.0
2022-10-08,OTHER_DRONE,2.0,2.0,1,1.0
2022-10-08,SHAHED,1.0,1.0,1,1.0
2022-10-09,UNKNOWN,22.0,1.0,3,0.045454545454545456
2022-10-10,MISSILE,84.0,43.0,1,0.5119047619047619
2022-10-10,OTHER_DRONE,11.0,3.0,1,0.2727272727272727
2022-10-10,SHAHED,13.0,10.0,1,0.7692307692307693
2022-10-11,MISSILE,28.0,20.0,1,0.7142857142857143
2022-10-11,SHAHED,34.0,34.0,3,1.0
2022-10-13,MISSILE,5.0,5.0,1,1.0
2022-10-15,SHAHED,6.0,6.0,1,1.0
2022-10-16,SHAHED,11.0,11.0,1,1.0
2022-10-17,MISSILE,2.0,2.0,1,1.0
2022-10-17,SHAHED,23.0,23.0,2,1.0
2022-10-17,UNKNOWN,3.0,3.0,1,1.0
2022-10-19,MISSILE,6.0,4.0,1,0.6666666666666666
2022-10-19,SHAHED,10.0,10.0,1,1.0
2022-10-20,SHAHED,14.0,14.0,1,1.0
2022-10-22,MISSILE,33.0,18.0,2,0.5454545454545454
2022-10-22,SHAHED,10.0,10.0,1,1.0
2022-10-23,SHAHED,16.0,16.0,1,1.0
2022-10-25,SHAHED,3.0,3.0,2,1.0
2022-10-26,SHAHED,20.0,19.0,1,0.95
2022-10-26,UNKNOWN,1.0,1.0,1,1.0
2022-10-31,MISSILE,50.0,44.0,1,0.88
2022-11-01,OTHER_DRONE,1.0,1.0,1,1.0
2022-11-01,SHAHED,19.0,18.0,3,0.9473684210526315
2022-11-03,SHAHED,9.0,9.0,1,1.0
2022-11-04,MISSILE,2.0,2.0,1,1.0
2022-11-14,OTHER_DRONE,2.0,2.0,1,1.0
2022-12-20,OTHER_DRONE,1.0,1.0,1,1.0
2022-12-20,UNKNOWN,1.0,1.0,1,1.0
2022-12-29,MISSILE,62.0,58.0,1,0.9354838709677419
2022-12-29,UNKNOWN,8.0,0.0,2,0.0
2022-12-30,SHAHED,16.0,16.0,1,1.0
2022-12-31,EXCLUDED,1.0,1.0,1,1.0
2022-12-31,UNKNOWN,20.0,12.0,1,0.6
2023-01-11,EXCLUDED,2.0,2.0,2,1.0
2023-01-11,OTHER_DRONE,1.0,1.0,1,1.0
2023-01-12,EXCLUDED,1.0,1.0,1,1.0
2023-01-14,UNKNOWN,1.0,0.0,1,0.0
2023-01-20,EXCLUDED,2.0,2.0,2,1.0
2023-01-23,EXCLUDED,1.0,1.0,1,1.0
2023-01-23,UNKNOWN,2.0,2.0,1,1.0
2023-01-25,EXCLUDED,1.0,1.0,1,1.0
2023-01-26,MISSILE,51.0,47.0,3,0.9215686274509803
2023-01-26,SHAHED,24.0,24.0,1,1.0
2023-01-26,UNKNOWN,4.0,0.0,1,0.0
2023-02-09,MISSILE,71.0,61.0,2,0.8591549295774648
2023-02-09,SHAHED,7.0,5.0,1,0.7142857142857143
2023-02-09,UNKNOWN,36.0,1.0,2,0.027777777777777776
2023-02-10,SHAHED,20.0,20.0,1,1.0
2023-02-11,EXCLUDED,1.0,1.0,1,1.0
2023-02-11,SHAHED,4.0,4.0,1,1.0
2023-02-16,MISSILE,21.0,14.0,3,0.6666666666666666
2023-02-16,UNKNOWN,14.0,2.0,3,0.14285714285714285
2023-02-18,MISSILE,4.0,2.0,1,0.5
2023-02-27,SHAHED,14.0,11.0,1,0.7857142857142857
2023-03-01,SHAHED,4.0,4.0,1,1.0
2023-03-08,SHAHED,2.0,2.0,1,1.0
2023-03-14,UNKNOWN,4.0,0.0,1,0.0
2023-03-17,SHAHED,16.0,11.0,1,0.6875
2023-03-21,SHAHED,21.0,16.0,1,0.7619047619047619
2023-03-21,UNKNOWN,2.0,2.0,1,1.0
2023-03-23,UNKNOWN,2.0,2.0,1,1.0
2023-03-27,SHAHED,13.0,12.0,1,0.9230769230769231
2023-03-27,UNKNOWN,3.0,1.0,2,0.3333333333333333
2023-03-30,SHAHED,10.0,9.0,1,0.9
2023-04-04,SHAHED,17.0,14.0,1,0.8235294117647058
2023-04-08,EXCLUDED,1.0,1.0,1,1.0
2023-04-19,SHAHED,11.0,10.0,1,0.9090909090909091
2023-04-21,SHAHED,5.0,4.0,1,0.8
2023-04-23,EXCLUDED,1.0,1.0,1,1.0
2023-04-28,MISSILE,23.0,21.0,1,0.9130434782608695
2023-04-28,OTHER_DRONE,2.0,2.0,1,1.0
2023-04-29,OTHER_DRONE,1.0,1.0,1,1.0
2023-04-29,SHAHED,2.0,2.0,1,1.0
2023-05-01,MISSILE,18.0,15.0,1,0.8333333333333334
2023-05-02,SHAHED,26.0,21.0,1,0.8076923076923077
2023-05-04,MISSILE,1.0,1.0,1,1.0
2023-05-08,MISSILE,8.0,8.0,1,1.0
2023-05-08,UNKNOWN,8.0,0.0,1,0.0
2023-05-09,MISSILE,17.0,15.0,1,0.8823529411764706
2023-05-09,SHAHED,3.0,3.0,1,1.0
2023-05-13,EXCLUDED,1.0,1.0,1,1.0
2023-05-13,SHAHED,21.0,17.0,1,0.8095238095238095
2023-05-14,EXCLUDED,4.0,4.0,3,1.0
2023-05-14,MISSILE,3.0,3.0,1,1.0
2023-05-14,OTHER_DRONE,4.0,4.0,1,1.0
2023-05-14,SHAHED,22.0,22.0,2,1.0
2023-05-16,EXCLUDED,3.0,3.0,2,1.0
2023-05-16,MISSILE,25.0,25.0,3,1.0
2023-05-16,SHAHED,6.0,6.0,1,1.0
2023-05-17,MISSILE,30.0,29.0,3,0.9666666666666667
2023-05-17,OTHER_DRONE,2.0,2.0,1,1.0
2023-05-17,SHAHED,2.0,2.0,1,1.0
2023-05-20,SHAHED,4.0,4.0,1,1.0
2023-05-22,MISSILE,6.0,4.0,2,0.6666666666666666
2023-05-22,SHAHED,20.0,20.0,1,1.0
2023-05-22,UNKNOWN,10.0,0.0,2,0.0
2023-05-25,EXCLUDED,2.0,2.0,2,1.0
2023-05-25,MISSILE,10.0,10.0,1,1.0
2023-05-25,SHAHED,31.0,23.0,1,0.7419354838709677
2023-05-25,UNKNOWN,7.0,0.0,1,0.0
2023-05-29,MISSILE,51.0,48.0,2,0.9411764705882353
2023-05-29,OTHER_DRONE,1.0,1.0,1,1.0
2023-05-29,SHAHED,66.0,58.0,2,0.8787878787878788
2023-06-01,MISSILE,10.0,10.0,2,1.0
2023-06-01,SHAHED,21.0,21.0,1,1.0
2023-06-02,MISSILE,15.0,15.0,1,1.0
2023-06-04,MISSILE,6.0,4.0,1,0.6666666666666666
2023-06-04,SHAHED,5.0,3.0,1,0.6
2023-06-06,MISSILE,35.0,35.0,1,1.0
2023-06-08,EXCLUDED,20.0,14.0,2,0.7
2023-06-08,MISSILE,8.0,4.0,2,0.5
2023-06-09,SHAHED,35.0,20.0,1,0.5714285714285714
2023-06-09,UNKNOWN,8.0,2.0,1,0.25
2023-06-15,MISSILE,4.0,1.0,1,0.25
2023-06-15,SHAHED,20.0,20.0,1,1.0
2023-06-16,MISSILE,12.0,12.0,2,1.0
2023-07-06,MISSILE,10.0,7.0,1,0.7
2023-07-13,OTHER_DRONE,1.0,1.0,1,1.0
2023-07-13,SHAHED,17.0,16.0,1,0.9411764705882353
2023-07-26,MISSILE,43.0,36.0,3,0.8372093023255814
2023-08-05,MISSILE,43.0,31.0,4,0.7209302325581395
2023-08-05,SHAHED,27.0,27.0,1,1.0
2023-08-10,SHAHED,10.0,7.0,1,0.7
2023-08-11,MISSILE,4.0,1.0,1,0.25
2023-08-12,SHAHED,5.0,3.0,1,0.6
2023-08-14,MISSILE,11.0,9.0,2,0.8181818181818182
2023-08-14,SHAHED,15.0,15.0,1,1.0
2023-08-15,MISSILE,24.0,16.0,2,0.6666666666666666
2023-08-15,SHAHED,13.0,13.0,1,1.0
2023-08-15,UNKNOWN,12.0,0.0,2,0.0
2023-08-16,SHAHED,3.0,3.0,1,1.0
2023-08-19,SHAHED,17.0,15.0,1,0.8823529411764706
2023-08-24,MISSILE,1.0,1.0,1,1.0
2023-08-26,SHAHED,2.0,2.0,1,1.0
