moscow_cloudcover_mean,moscow_windspeed_10m_max,moscow_precipitation_sum,moscow_weathercode,date,tver_cloudcover_mean,tver_windspeed_10m_max,tver_precipitation_sum,tver_weathercode,saratov_cloudcover_mean,saratov_windspeed_10m_max,saratov_precipitation_sum,saratov_weathercode,krasnodar_cloudcover_mean,krasnodar_windspeed_10m_max,krasnodar_precipitation_sum,krasnodar_weathercode,crimea_cloudcover_mean,crimea_windspeed_10m_max,crimea_precipitation_sum,crimea_weathercode,avg_cloud,avg_wind,avg_precip
28,26.6,0.0,3,2024-06-21,26,23.7,0.2,51,37,15.9,3.0,61,10,23.9,0.1,51,2,23.0,0.0,1,20.6,22.619999999999997,0.66
22,20.6,0.0,3,2024-06-22,38,17.1,0.0,3,63,30.2,14.7,63,10,16.8,0.0,2,3,9.3,0.0,1,27.2,18.8,2.94
71,12.3,0.0,3,2024-06-23,58,13.5,0.0,3,39,28.4,0.0,3,2,8.1,0.0,0,0,14.8,0.0,0,34.0,15.420000000000002,0.0
58,15.5,0.4,51,2024-06-24,62,13.7,0.2,51,57,16.8,0.0,3,4,20.2,0.0,1,14,10.5,0.0,3,39.0,15.34,0.12000000000000002
72,24.0,0.1,51,2024-06-25,61,19.0,0.0,3,54,19.8,0.0,3,13,23.9,0.2,51,18,18.2,0.0,3,43.6,20.979999999999997,0.06000000000000001
53,25.3,0.3,51,2024-06-26,62,17.1,0.6,51,51,17.1,0.0,3,16,19.6,0.0,2,4,14.8,0.0,1,37.2,18.78,0.18
24,21.3,0.0,3,2024-06-27,13,11.7,0.0,3,53,23.4,0.3,51,19,16.5,0.4,51,17,14.2,0.0,3,25.2,17.42,0.13999999999999999
2,9.0,0.0,0,2024-06-28,10,9.3,0.0,1,89,22.8,0.3,51,33,16.5,0.0,3,20,24.0,0.0,3,30.8,16.32,0.06
20,10.8,0.1,51,2024-06-29,32,14.0,0.4,51,21,20.7,0.0,3,21,20.0,0.0,3,14,23.6,0.2,51,21.6,17.82,0.13999999999999999
60,18.2,0.5,53,2024-06-30,60,12.8,2.7,53,5,13.8,0.0,1,16,23.1,0.0,3,7,20.4,0.0,1,29.6,17.660000000000004,0.64
68,14.3,0.0,3,2024-07-01,60,16.3,0.0,3,56,13.2,0.0,3,3,23.1,0.0,2,9,13.2,0.0,1,39.2,16.020000000000003,0.0
34,20.3,0.0,3,2024-07-02,26,20.1,0.0,3,32,12.5,0.0,3,70,18.8,0.0,3,7,18.2,0.0,3,33.8,17.98,0.0
55,27.9,0.0,3,2024-07-03,68,22.5,5.5,63,56,13.7,0.0,3,43,17.8,0.0,3,10,16.7,0.0,2,46.4,19.72,1.1
56,19.2,0.0,3,2024-07-04,66,19.2,0.2,51,60,13.0,1.0,53,29,10.4,0.0,3,61,15.2,0.8,53,54.4,15.4,0.4
72,28.6,16.8,65,2024-07-05,83,18.1,15.9,63,29,19.2,0.6,53,46,11.0,0.4,51,71,10.8,3.3,61,60.2,17.54,7.4
49,22.1,0.7,51,2024-07-06,51,20.1,0.6,51,30,15.3,0.2,51,89,18.0,0.0,3,7,22.3,0.0,1,45.2,19.56,0.29999999999999993
28,10.9,0.0,3,2024-07-07,37,15.8,0.0,3,29,23.9,1.4,61,65,24.5,0.0,3,0,23.0,0.0,0,31.8,19.619999999999997,0.27999999999999997
32,12.9,0.0,3,2024-07-08,27,12.6,0.0,3,12,15.6,0.0,2,58,28.5,0.0,3,14,19.7,0.0,3,28.6,17.86,0.0
22,20.9,0.0,3,2024-07-09,69,15.1,1.9,55,1,10.7,0.0,0,64,26.8,0.0,3,45,21.1,0.4,51,40.2,18.919999999999998,0.45999999999999996
18,16.4,0.1,51,2024-07-10,46,10.5,0.0,3,9,18.9,0.0,2,93,27.7,0.0,3,57,28.2,0.0,3,44.6,20.34,0.02
40,9.2,0.0,3,2024-07-11,44,9.4,0.0,3,18,21.6,0.1,51,86,29.7,2.3,61,28,35.3,0.0,3,43.2,21.04,0.48
27,11.0,0.0,3,2024-07-12,32,15.1,0.0,3,19,24.3,0.0,3,58,25.4,0.0,3,27,26.4,0.0,2,32.6,20.440000000000005,0.0
57,11.5,0.1,51,2024-07-13,78,12.7,0.5,51,13,23.1,0.0,3,52,27.9,0.0,3,53,26.6,0.0,3,50.6,20.359999999999996,0.12
59,13.0,0.3,51,2024-07-14,77,9.0,14.8,65,33,16.2,0.0,3,0,26.6,0.0,0,27,26.0,0.0,3,39.2,18.160000000000004,3.0200000000000005
39,14.6,1.2,53,2024-07-15,61,14.0,0.5,51,17,10.4,0.0,3,88,26.2,0.0,3,97,27.8,0.0,3,60.4,18.6,0.33999999999999997
38,15.2,1.3,51,2024-07-16,36,9.7,0.0,3,31,11.8,0.0,3,66,21.7,0.0,3,86,23.0,0.0,3,51.4,16.28,0.26
52,10.2,0.0,3,2024-07-17,47,12.3,0.9,53,12,10.3,0.0,3,12,26.3,0.0,3,23,25.8,0.0,3,29.2,16.979999999999997,0.18
73,12.2,0.9,51,2024-07-18,88,10.5,7.6,63,29,10.5,0.0,3,0,26.1,0.0,0,12,15.7,0.0,1,40.4,15.0,1.7
75,16.8,5.5,55,2024-07-19,64,13.0,0.7,51,61,12.2,0.4,51,57,19.0,0.0,3,14,14.7,0.0,3,54.2,15.14,1.32
39,15.6,1.2,51,2024-07-20,49,13.0,1.1,51,31,19.4,0.0,3,17,20.6,0.2,51,30,15.3,1.1,53,33.2,16.779999999999998,0.72
48,12.2,1.4,53,2024-07-21,69,18.7,3.2,61,25,18.2,0.0,3,8,9.4,0.0,1,17,13.4,0.2,51,33.4,14.379999999999999,0.96
68,21.5,7.9,63,2024-07-22,73,16.3,16.3,63,43,16.6,0.0,3,32,10.0,0.1,51,17,16.7,0.4,51,46.6,16.220000000000002,4.94
