date,launched,destroyed,attack_records,interception_rate,year,month,year_month
2022-09-29,7.0,5.0,1,0.7142857142857143,2022,9,2022-09
2022-10-02,7.0,5.0,1,0.7142857142857143,2022,10,2022-10
2022-10-05,1.0,1.0,1,1.0,2022,10,2022-10
2022-10-06,5.0,5.0,2,1.0,2022,10,2022-10
2022-10-07,3.0,3.0,1,1.0,2022,10,2022-10
2022-10-08,1.0,1.0,1,1.0,2022,10,2022-10
2022-10-10,13.0,10.0,1,0.7692307692307693,2022,10,2022-10
2022-10-11,34.0,34.0,3,1.0,2022,10,2022-10
2022-10-15,6.0,6.0,1,1.0,2022,10,2022-10
2022-10-16,11.0,11.0,1,1.0,2022,10,2022-10
2022-10-17,23.0,23.0,2,1.0,2022,10,2022-10
2022-10-19,10.0,10.0,1,1.0,2022,10,2022-10
2022-10-20,14.0,14.0,1,1.0,2022,10,2022-10
2022-10-22,10.0,10.0,1,1.0,2022,10,2022-10
2022-10-23,16.0,16.0,1,1.0,2022,10,2022-10
2022-10-25,3.0,3.0,2,1.0,2022,10,2022-10
2022-10-26,20.0,19.0,1,0.95,2022,10,2022-10
2022-11-01,19.0,18.0,3,0.9473684210526315,2022,11,2022-11
2022-11-03,9.0,9.0,1,1.0,2022,11,2022-11
2022-12-30,16.0,16.0,1,1.0,2022,12,2022-12
2023-01-26,24.0,24.0,1,1.0,2023,1,2023-01
2023-02-09,7.0,5.0,1,0.7142857142857143,2023,2,2023-02
2023-02-10,20.0,20.0,1,1.0,2023,2,2023-02
2023-02-11,4.0,4.0,1,1.0,2023,2,2023-02
2023-02-27,14.0,11.0,1,0.7857142857142857,2023,2,2023-02
2023-03-01,4.0,4.0,1,1.0,2023,3,2023-03
2023-03-08,2.0,2.0,1,1.0,2023,3,2023-03
2023-03-17,16.0,11.0,1,0.6875,2023,3,2023-03
2023-03-21,21.0,16.0,1,0.7619047619047619,2023,3,2023-03
2023-03-27,13.0,12.0,1,0.9230769230769231,2023,3,2023-03
2023-03-30,10.0,9.0,1,0.9,2023,3,2023-03
2023-04-04,17.0,14.0,1,0.8235294117647058,2023,4,2023-04
2023-04-19,11.0,10.0,1,0.9090909090909091,2023,4,2023-04
2023-04-21,5.0,4.0,1,0.8,2023,4,2023-04
2023-04-29,2.0,2.0,1,1.0,2023,4,2023-04
2023-05-02,26.0,21.0,1,0.8076923076923077,2023,5,2023-05
2023-05-09,3.0,3.0,1,1.0,2023,5,2023-05
2023-05-13,21.0,17.0,1,0.8095238095238095,2023,5,2023-05
2023-05-14,22.0,22.0,2,1.0,2023,5,2023-05
2023-05-16,6.0,6.0,1,1.0,2023,5,2023-05
2023-05-17,2.0,2.0,1,1.0,2023,5,2023-05
2023-05-20,4.0,4.0,1,1.0,2023,5,2023-05
2023-05-22,20.0,20.0,1,1.0,2023,5,2023-05
2023-05-25,31.0,23.0,1,0.7419354838709677,2023,5,2023-05
2023-05-29,66.0,58.0,2,0.8787878787878788,2023,5,2023-05
2023-06-01,21.0,21.0,1,1.0,2023,6,2023-06
2023-06-04,5.0,3.0,1,0.6,2023,6,2023-06
2023-06-09,35.0,20.0,1,0.5714285714285714,2023,6,2023-06
2023-06-15,20.0,20.0,1,1.0,2023,6,2023-06
2023-07-13,17.0,16.0,1,0.9411764705882353,2023,7,2023-07
2023-08-05,27.0,27.0,1,1.0,2023,8,2023-08
2023-08-10,10.0,7.0,1,0.7,2023,8,2023-08
2023-08-12,5.0,3.0,1,0.6,2023,8,2023-08
2023-08-14,15.0,15.0,1,1.0,2023,8,2023-08
2023-08-15,13.0,13.0,1,1.0,2023,8,2023-08
2023-08-16,3.0,3.0,1,1.0,2023,8,2023-08
2023-08-19,17.0,15.0,1,0.8823529411764706,2023,8,2023-08
2023-08-26,2.0,2.0,1,1.0,2023,8,2023-08
2023-08-27,2.0,2.0,1,1.0,2023,8,2023-08
2023-09-13,22.0,17.0,1,0.7727272727272727,2023,9,2023-09
2023-10-18,9.0,3.0,1,0.3333333333333333,2023,10,2023-10
2023-11-05,22.0,15.0,1,0.6818181818181818,2023,11,2023-11
2023-11-06,1.0,1.0,1,1.0,2023,11,2023-11
2023-11-10,31.0,19.0,1,0.6129032258064516,2023,11,2023-11
2023-11-17,38.0,29.0,1,0.7631578947368421,2023,11,2023-11
2023-11-21,14.0,14.0,1,1.0,2023,11,2023-11
2023-12-13,42.0,41.0,1,0.9761904761904762,2023,12,2023-12
2023-12-20,35.0,34.0,1,0.9714285714285714,2023,12,2023-12
2023-12-22,9.0,9.0,1,1.0,2023,12,2023-12
2023-12-26,46.0,32.0,1,0.6956521739130435,2023,12,2023-12
2023-12-28,36.0,27.0,1,0.75,2023,12,2023-12
2024-01-01,45.0,44.0,2,0.9777777777777777,2024,1,2024-01
2024-03-22,63.0,55.0,1,0.873015873015873,2024,3,2024-03
2024-05-18,1.0,1.0,1,1.0,2024,5,2024-05
2024-08-26,109.0,99.0,1,0.908256880733945,2024,8,2024-08
2024-09-03,29.0,22.0,1,0.7586206896551724,2024,9,2024-09
2024-09-15,56.0,53.0,1,0.9464285714285714,2024,9,2024-09
2024-09-16,51.0,34.0,1,0.6666666666666666,2024,9,2024-09
2024-09-23,81.0,66.0,1,0.8148148148148148,2024,9,2024-09
2024-09-27,73.0,69.0,1,0.9452054794520548,2024,9,2024-09
2024-09-28,3.0,1.0,1,0.3333333333333333,2024,9,2024-09
2024-09-29,73.0,67.0,1,0.9178082191780822,2024,9,2024-09
2024-10-02,105.0,78.0,1,0.7428571428571429,2024,10,2024-10
2024-10-05,87.0,56.0,1,0.6436781609195402,2024,10,2024-10
2024-10-06,74.0,32.0,1,0.43243243243243246,2024,10,2024-10
2024-10-07,19.0,18.0,1,0.9473684210526315,2024,10,2024-10
2024-10-09,62.0,41.0,1,0.6612903225806451,2024,10,2024-10
2024-10-15,136.0,68.0,1,0.5,2024,10,2024-10
2024-10-16,56.0,22.0,1,0.39285714285714285,2024,10,2024-10
2024-10-17,135.0,80.0,1,0.5925925925925926,2024,10,2024-10
2024-10-18,98.0,42.0,1,0.42857142857142855,2024,10,2024-10
2024-10-19,49.0,31.0,1,0.6326530612244898,2024,10,2024-10
2024-10-20,116.0,59.0,1,0.5086206896551724,2024,10,2024-10
2024-10-21,60.0,42.0,1,0.7,2024,10,2024-10
2024-10-22,81.0,57.0,1,0.7037037037037037,2024,10,2024-10
2024-10-23,50.0,40.0,1,0.8,2024,10,2024-10
2024-10-24,63.0,36.0,1,0.5714285714285714,2024,10,2024-10
2024-10-25,91.0,44.0,1,0.4835164835164835,2024,10,2024-10
2024-10-26,80.0,41.0,1,0.5125,2024,10,2024-10
2024-10-27,100.0,66.0,1,0.66,2024,10,2024-10
2024-10-28,48.0,26.0,1,0.5416666666666666,2024,10,2024-10
2024-10-29,62.0,33.0,1,0.532258064516129,2024,10,2024-10
2024-10-30,43.0,17.0,1,0.3953488372093023,2024,10,2024-10
2024-10-31,48.0,31.0,1,0.6458333333333334,2024,10,2024-10
2024-11-01,71.0,39.0,1,0.5492957746478874,2024,11,2024-11
2024-11-02,96.0,66.0,1,0.6875,2024,11,2024-11
2024-11-03,80.0,50.0,1,0.625,2024,11,2024-11
2024-11-04,79.0,48.0,1,0.6075949367088608,2024,11,2024-11
2024-11-05,63.0,38.0,1,0.6031746031746031,2024,11,2024-11
2024-11-06,106.0,74.0,1,0.6981132075471698,2024,11,2024-11
2024-11-07,92.0,62.0,1,0.6739130434782609,2024,11,2024-11
2024-11-08,51.0,32.0,1,0.6274509803921569,2024,11,2024-11
2024-11-09,145.0,62.0,1,0.42758620689655175,2024,11,2024-11
2024-11-10,74.0,39.0,1,0.527027027027027,2024,11,2024-11
2024-11-11,110.0,46.0,1,0.41818181818181815,2024,11,2024-11
2024-11-12,90.0,37.0,1,0.4111111111111111,2024,11,2024-11
2024-11-13,59.0,21.0,1,0.3559322033898305,2024,11,2024-11
2024-11-14,29.0,25.0,1,0.8620689655172413,2024,11,2024-11
2024-11-15,83.0,53.0,1,0.6385542168674698,2024,11,2024-11
2024-11-16,90.0,42.0,1,0.4666666666666667,2024,11,2024-11
2024-11-17,11.0,8.0,1,0.7272727272727273,2024,11,2024-11
2024-11-18,87.0,51.0,1,0.5862068965517241,2024,11,2024-11
2024-11-19,122.0,56.0,1,0.45901639344262296,2024,11,2024-11
2024-11-22,114.0,64.0,1,0.5614035087719298,2024,11,2024-11
2024-11-24,218.0,121.0,2,0.555045871559633,2024,11,2024-11
2024-11-25,188.0,76.0,1,0.40425531914893614,2024,11,2024-11
2024-11-26,89.0,36.0,1,0.4044943820224719,2024,11,2024-11
2024-11-27,97.0,35.0,1,0.36082474226804123,2024,11,2024-11
2024-11-28,132.0,88.0,1,0.6666666666666666,2024,11,2024-11
2024-11-29,10.0,8.0,1,0.8,2024,11,2024-11
2024-11-30,78.0,32.0,1,0.41025641025641024,2024,11,2024-11
2024-12-01,110.0,52.0,1,0.4727272727272727,2024,12,2024-12
2024-12-02,28.0,22.0,1,0.7857142857142857,2024,12,2024-12
2024-12-03,50.0,29.0,1,0.58,2024,12,2024-12
2024-12-04,44.0,30.0,1,0.6818181818181818,2024,12,2024-12
2024-12-05,53.0,32.0,1,0.6037735849056604,2024,12,2024-12
2024-12-06,14.0,7.0,1,0.5,2024,12,2024-12
2024-12-07,74.0,28.0,1,0.3783783783783784,2024,12,2024-12
2024-12-08,37.0,18.0,1,0.4864864864864865,2024,12,2024-12
2024-12-12,193.0,80.0,1,0.41450777202072536,2024,12,2024-12
2024-12-13,132.0,58.0,1,0.4393939393939394,2024,12,2024-12
2024-12-14,108.0,56.0,1,0.5185185185185185,2024,12,2024-12
2024-12-16,80.0,47.0,2,0.5875,2024,12,2024-12
2024-12-17,81.0,51.0,1,0.6296296296296297,2024,12,2024-12
2024-12-18,85.0,45.0,1,0.5294117647058824,2024,12,2024-12
2024-12-19,65.0,40.0,1,0.6153846153846154,2024,12,2024-12
2024-12-20,113.0,57.0,1,0.504424778761062,2024,12,2024-12
2024-12-21,103.0,52.0,1,0.5048543689320388,2024,12,2024-12
2024-12-22,72.0,47.0,1,0.6527777777777778,2024,12,2024-12
2024-12-23,60.0,36.0,1,0.6,2024,12,2024-12
2024-12-24,106.0,54.0,1,0.5094339622641509,2024,12,2024-12
2024-12-25,31.0,20.0,1,0.6451612903225806,2024,12,2024-12
2024-12-26,24.0,13.0,1,0.5416666666666666,2024,12,2024-12
2024-12-27,16.0,15.0,1,0.9375,2024,12,2024-12
2024-12-28,10.0,9.0,1,0.9,2024,12,2024-12
2024-12-30,40.0,16.0,1,0.4,2024,12,2024-12
2024-12-31,111.0,63.0,1,0.5675675675675675,2024,12,2024-12
2025-01-01,72.0,47.0,1,0.6527777777777778,2025,1,2025-01
2025-01-02,93.0,60.0,1,0.6451612903225806,2025,1,2025-01
2025-01-03,113.0,47.0,2,0.415929203539823,2025,1,2025-01
2025-01-04,133.0,75.0,2,0.5639097744360902,2025,1,2025-01
2025-01-05,128.0,79.0,1,0.6171875,2025,1,2025-01
2025-01-06,38.0,28.0,1,0.7368421052631579,2025,1,2025-01
2025-01-07,64.0,41.0,1,0.640625,2025,1,2025-01
2025-01-08,70.0,46.0,1,0.6571428571428571,2025,1,2025-01
2025-01-09,72.0,33.0,1,0.4583333333333333,2025,1,2025-01
2025-01-10,74.0,47.0,1,0.6351351351351351,2025,1,2025-01
2025-01-11,94.0,60.0,1,0.6382978723404256,2025,1,2025-01
2025-01-12,110.0,78.0,1,0.7090909090909091,2025,1,2025-01
2025-01-13,80.0,58.0,1,0.725,2025,1,2025-01
2025-01-14,74.0,47.0,1,0.6351351351351351,2025,1,2025-01
2025-01-15,55.0,34.0,1,0.6181818181818182,2025,1,2025-01
2025-01-16,50.0,33.0,1,0.66,2025,1,2025-01
2025-01-17,39.0,24.0,1,0.6153846153846154,2025,1,2025-01
2025-01-18,61.0,43.0,1,0.7049180327868853,2025,1,2025-01
2025-01-19,141.0,93.0,1,0.6595744680851063,2025,1,2025-01
2025-01-20,131.0,72.0,1,0.549618320610687,2025,1,2025-01
2025-01-21,99.0,65.0,1,0.6565656565656566,2025,1,2025-01
2025-01-22,92.0,57.0,1,0.6195652173913043,2025,1,2025-01
2025-01-23,58.0,25.0,1,0.43103448275862066,2025,1,2025-01
2025-01-24,61.0,46.0,1,0.7540983606557377,2025,1,2025-01
2025-01-25,72.0,50.0,1,0.6944444444444444,2025,1,2025-01
2025-01-26,104.0,57.0,1,0.5480769230769231,2025,1,2025-01
2025-01-27,100.0,65.0,1,0.65,2025,1,2025-01
2025-01-28,57.0,29.0,1,0.5087719298245614,2025,1,2025-01
2025-01-29,81.0,37.0,1,0.4567901234567901,2025,1,2025-01
2025-01-30,102.0,59.0,1,0.5784313725490197,2025,1,2025-01
2025-01-31,123.0,56.0,1,0.45528455284552843,2025,1,2025-01
2025-02-01,55.0,40.0,1,0.7272727272727273,2025,2,2025-02
2025-02-02,71.0,38.0,1,0.5352112676056338,2025,2,2025-02
2025-02-03,65.0,37.0,1,0.5692307692307692,2025,2,2025-02
2025-02-04,104.0,57.0,1,0.5480769230769231,2025,2,2025-02
2025-02-05,77.0,56.0,1,0.7272727272727273,2025,2,2025-02
2025-02-06,112.0,81.0,1,0.7232142857142857,2025,2,2025-02
2025-02-07,139.0,67.0,1,0.48201438848920863,2025,2,2025-02
2025-02-08,151.0,70.0,1,0.46357615894039733,2025,2,2025-02
2025-02-09,83.0,61.0,1,0.7349397590361446,2025,2,2025-02
2025-02-11,123.0,71.0,1,0.5772357723577236,2025,2,2025-02
2025-02-12,140.0,85.0,1,0.6071428571428571,2025,2,2025-02
2025-02-13,133.0,73.0,1,0.5488721804511278,2025,2,2025-02
2025-02-14,70.0,33.0,1,0.4714285714285714,2025,2,2025-02
2025-02-15,143.0,95.0,1,0.6643356643356644,2025,2,2025-02
2025-02-16,147.0,83.0,1,0.564625850340136,2025,2,2025-02
2025-02-17,176.0,103.0,1,0.5852272727272727,2025,2,2025-02
2025-02-18,167.0,106.0,1,0.6347305389221557,2025,2,2025-02
2025-02-20,160.0,87.0,1,0.54375,2025,2,2025-02
2025-02-21,162.0,82.0,1,0.5061728395061729,2025,2,2025-02
2025-02-22,267.0,138.0,1,0.5168539325842697,2025,2,2025-02
2025-02-23,185.0,113.0,1,0.6108108108108108,2025,2,2025-02
2025-02-24,213.0,133.0,1,0.6244131455399061,2025,2,2025-02
2025-02-25,177.0,110.0,1,0.6214689265536724,2025,2,2025-02
2025-02-26,166.0,90.0,1,0.5421686746987951,2025,2,2025-02
2025-02-27,208.0,107.0,1,0.5144230769230769,2025,2,2025-02
2025-02-28,154.0,103.0,1,0.6688311688311688,2025,2,2025-02
2025-03-01,79.0,63.0,1,0.7974683544303798,2025,3,2025-03
2025-03-02,83.0,46.0,1,0.5542168674698795,2025,3,2025-03
2025-03-03,99.0,65.0,1,0.6565656565656566,2025,3,2025-03
2025-03-04,181.0,115.0,1,0.6353591160220995,2025,3,2025-03
2025-03-05,112.0,68.0,1,0.6071428571428571,2025,3,2025-03
2025-03-07,145.0,79.0,1,0.5448275862068965,2025,3,2025-03
2025-03-08,119.0,73.0,1,0.6134453781512605,2025,3,2025-03
2025-03-09,176.0,130.0,1,0.7386363636363636,2025,3,2025-03
2025-03-10,126.0,79.0,1,0.626984126984127,2025,3,2025-03
2025-03-11,133.0,98.0,1,0.7368421052631579,2025,3,2025-03
2025-03-12,117.0,74.0,1,0.6324786324786325,2025,3,2025-03
2025-03-13,27.0,16.0,1,0.5925925925925926,2025,3,2025-03
2025-03-14,178.0,130.0,1,0.7303370786516854,2025,3,2025-03
2025-03-15,90.0,47.0,1,0.5222222222222223,2025,3,2025-03
2025-03-16,174.0,90.0,1,0.5172413793103449,2025,3,2025-03
2025-03-17,137.0,63.0,1,0.45985401459854014,2025,3,2025-03
2025-03-18,145.0,72.0,1,0.496551724137931,2025,3,2025-03
2025-03-19,171.0,75.0,1,0.43859649122807015,2025,3,2025-03
2025-03-20,214.0,114.0,1,0.5327102803738317,2025,3,2025-03
2025-03-21,179.0,100.0,1,0.5586592178770949,2025,3,2025-03
2025-03-22,147.0,97.0,1,0.6598639455782312,2025,3,2025-03
2025-03-23,99.0,57.0,1,0.5757575757575758,2025,3,2025-03
2025-03-24,139.0,78.0,1,0.5611510791366906,2025,3,2025-03
2025-03-25,117.0,56.0,1,0.47863247863247865,2025,3,2025-03
2025-03-26,86.0,42.0,1,0.4883720930232558,2025,3,2025-03
2025-03-27,163.0,89.0,1,0.5460122699386503,2025,3,2025-03
2025-03-28,172.0,94.0,1,0.5465116279069767,2025,3,2025-03
2025-03-29,111.0,65.0,1,0.5855855855855856,2025,3,2025-03
2025-03-30,131.0,57.0,1,0.4351145038167939,2025,3,2025-03
2025-04-01,74.0,41.0,1,0.5540540540540541,2025,4,2025-04
2025-04-02,39.0,28.0,1,0.717948717948718,2025,4,2025-04
2025-04-03,78.0,42.0,1,0.5384615384615384,2025,4,2025-04
2025-04-04,92.0,51.0,1,0.5543478260869565,2025,4,2025-04
2025-04-05,109.0,40.0,1,0.3669724770642202,2025,4,2025-04
2025-04-07,46.0,9.0,1,0.1956521739130435,2025,4,2025-04
2025-04-08,55.0,32.0,1,0.5818181818181818,2025,4,2025-04
2025-04-09,145.0,85.0,1,0.5862068965517241,2025,4,2025-04
2025-04-10,39.0,24.0,1,0.6153846153846154,2025,4,2025-04
2025-04-11,88.0,56.0,1,0.6363636363636364,2025,4,2025-04
2025-04-12,55.0,43.0,1,0.7818181818181819,2025,4,2025-04
2025-04-13,62.0,40.0,1,0.6451612903225806,2025,4,2025-04
2025-04-14,52.0,26.0,1,0.5,2025,4,2025-04
2025-04-15,97.0,57.0,1,0.5876288659793815,2025,4,2025-04
2025-04-16,75.0,25.0,1,0.3333333333333333,2025,4,2025-04
2025-04-17,37.0,23.0,1,0.6216216216216216,2025,4,2025-04
2025-04-18,87.0,33.0,1,0.3793103448275862,2025,4,2025-04
2025-04-21,150.0,80.0,2,0.5333333333333333,2025,4,2025-04
2025-04-22,211.0,105.0,2,0.4976303317535545,2025,4,2025-04
2025-04-23,145.0,64.0,1,0.4413793103448276,2025,4,2025-04
2025-04-24,103.0,41.0,1,0.39805825242718446,2025,4,2025-04
2025-04-25,114.0,66.0,1,0.5789473684210527,2025,4,2025-04
2025-04-26,149.0,57.0,1,0.3825503355704698,2025,4,2025-04
2025-04-27,166.0,40.0,1,0.24096385542168675,2025,4,2025-04
2025-04-28,100.0,37.0,1,0.37,2025,4,2025-04
2025-04-29,108.0,50.0,1,0.46296296296296297,2025,4,2025-04
2025-04-30,170.0,74.0,1,0.43529411764705883,2025,4,2025-04
2025-05-01,150.0,64.0,1,0.4266666666666667,2025,5,2025-05
2025-05-02,183.0,77.0,1,0.4207650273224044,2025,5,2025-05
2025-05-03,165.0,69.0,1,0.41818181818181815,2025,5,2025-05
2025-05-04,116.0,42.0,1,0.3620689655172414,2025,5,2025-05
2025-05-05,136.0,54.0,1,0.39705882352941174,2025,5,2025-05
2025-05-06,187.0,81.0,1,0.43315508021390375,2025,5,2025-05
2025-05-07,31.0,20.0,1,0.6451612903225806,2025,5,2025-05
