date,datetime,target_cat,damage,oblasts,confirmed,text_snippet
2024-06-21,2024-06-21 12:52,unknown,destroyed,unknown,0,"Сьогодні в ніч з 20 на 21 червня було заявлено російськими офіційними ЗМІ, що кацапи збили свій бляхоліт. Русня, може не будемо пиздіти і ви скажете правду, як наші БЕКи захуярили вашу блядоту при спробі знищення їх?"
2024-06-21,2024-06-21 15:54,unknown,unknown,belgorod,0,"Поговоримо трохи про switchblade 300. Знаючи по власному досвіду, іграшка могла б бути гарною зброєю, якби не одне але, 6000 американських зелених долярів.  Як для камікадзе-дрону, який не має нормального захисту від реб ціна занадто висока, треба пів почки продати, шоб зробити один запуск.   Точність в нього так собі, та і кількість вироблених за місяць цих дронів пєчальна. Про радіус його дії навіть смішно писати, 10 км - бойовий радіус, до 10 хвилин в повітрі. Смєшно рєбята.  На мою думку якщ"
2024-06-22,2024-06-22 06:20,unknown,unknown,crimea,0,"Шо там, руцкіє підари, постріляли своїми пукалками? Ох вам і пізда буде скоро, склади з дронами майже заповнені, підари, питання часу, коли воно полетить на вас. Ракети напоготові - чекають команди. Крим, команда ловити єбалом дрони - ПРИГОТУЙСЬ!"
2024-06-22,2024-06-22 10:03,radar_ad,destroyed,belgorod,0,**Повідомляють що під бєлгородом скоріше за все уражений російський ЗРГК «Панцирь-С1»**
2024-06-22,2024-06-22 13:41,unknown,destroyed,unknown,0,"**Докази прильотів **ймовірно **БРК** **«Нептун» по навчальному центру ППО зсрф в ніч на 21 червня, ейськ  **Тут жили, навчались, дислокувались та готували «операторів» БПЛА «Shahed» для їхнього пуску. [**Вдалось**](https://t.me/vanek_nikolaev/24591)** затарабанити жирних спеціалістів, **яких було важко відслідкувати  Знищено не лише склад з ймовірними БПЛА, а ще й уражено казарму  🤩🤩🤩"
2024-06-22,2024-06-22 15:43,command_control,destroyed,tver,0,"У травні 2024 року українські військові здійснили успішну операцію з використанням дрону ""Баба Яга"" в районі села Кринок на лівому березі Дніпра, поблизу Нової Каховки. Метою операції було знищення ворожої артилерійської батареї, яка активно обстрілювала українські позиції та цивільну інфраструктуру. ** **Розвідувальні підрозділи зібрали інформацію про розташування ворожої артилерії, після чого командування вирішило використати дрон ""Баба Яга"" для точного удару. Дрон був оснащений легкими вибухо"
2024-06-22,2024-06-22 20:02,command_control,unknown,unknown,0,"""Українські безпілотники, оснащені ракетами, можуть стати важливим активом у противоповітряній обороні в умовах повномасштабної війни. Згідно зі звітом Forbes, деякі з цих безпілотників вже відомі здійсненням повітряних ударів, які, можливо, призвели до аварії російських гелікоптерів. За даними UAINFO.org, українські БЕКи можуть бути оснащені радянськими ракетами класу повітря-повітря, такими як Р-73 з інфрачервою системою самонаведення. Ці ракети, чутливі до джерел тепла, можуть бути використан"
2024-06-23,2024-06-23 08:18,unknown,unknown,unknown,0,"Чи справді по Харкову був завданий удар повнічнокорейською бомбою agp-250?  На першій картинці можна побачити характерну задню кінцівку російського фаб-250, тому це навряд повнічнокорейська бомба, банально через різну будову цих бомб.   Скоріше за все, русня запустила каб-250 з Білгородської області (координати можливого запуску зараз на осінті, як щось знайду, скину пізніше), і просто крила з модулем посеред свого шляху відпали, і вона почала летіти майже під прямим кутом.   Можна зробити  прип"
2024-06-23,2024-06-23 18:11,airbase,unknown,sevastopol,0,"Скоріше за все, мова йде про удари сьогодні за допомогою ракет “ATACMS” по аеродрому Бельбек у т.о Севастополі  Почекаємо супутникові знімки, або офіційні заяви"
2024-06-23,2024-06-23 20:47,radar_ad,fire,unknown,0,"**📡**** «NASA FIRMS» фіксує пожежі на території військової частини в районі н.п Витино, Євпаторія**   На території в/ч знаходить **центр космічного стеження та зв'язку зсрф. **Раніше була інформація, що прилетіло по радару  [**Kravchuk**](https://t.me/+2uzptlD9m0s2ZGVi)"
