date,datetime,drone_count,oblasts,text_snippet
2023-01-01,2023-01-01 12:06,0,bryansk,"⚡️ **Сводка Министерства обороны Российской Федерации о ходе проведения специальной военной операции на территории Украины **(01.01.2023 г.)  Часть 1 ([см. часть 2](https://t.me/mod_russia/23105))  ◽️** 31 декабря 2022 г. Вооруженными Силами Российской Федерации нанесен удар высокоточным оружием большой дальности воздушного базирования по объектам оборонно-промышленного комплекса Украины**, задейс"
2023-01-01,2023-01-01 20:15,0,unknown,"**🗓 Главное за день   **◽️ 31 декабря 2022 г. Вооруженными Силами Российской Федерации [нанесен удар](https://t.me/mod_russia/23104) высокоточным оружием большой дальности воздушного базирования по объектам оборонно-промышленного комплекса Украины, задействованным в изготовлении ударных беспилотных летательных аппаратов, применяемых для совершения террористических атак против Российской Федерации."
2023-01-04,2023-01-04 16:33,0,unknown,"**Враг как на ладони: расчеты БпЛА «Элерон» десантно-штурмовых подразделений морской пехоты Тихоокеанского флота продолжают выполнять боевые задачи в зоне спецоперации  **◽️Беспилотники выявляют опорные пункты и огневые позиции противника, передают данные разведки огневым средствам для их гарантированного уничтожения.  ➡️ При ведении штурмовых действий по освобождению населённых пунктов такие целе"
2023-01-04,2023-01-04 20:02,0,unknown,"**🗓 Главное за день  **⚡️ Минобороны [рассказало о подвиге ](https://t.me/mod_russia/23190)майора медицинской службы Александра Сеикаева, посмертно награжденного Орденом Мужества за эвакуацию раненых из здания центральной городской больницы в Запорожской области.  ⚓️ Сегодня [состоялась](https://t.me/mod_russia/23181) торжественная церемония выхода на боевую службу фрегата «Адмирал флота Советског"
2023-01-05,2023-01-05 20:31,0,unknown,"**🗓 Главное за день  🇷🇺** Учитывая обращение Святейшего Патриарха Кирилла, Президент Российской Федерации [поручил](https://t.me/mod_russia/23216) Министру обороны РФ ввести с 12.00 6 января 2023 года до 24.00 7 января 2023 года режим прекращения огня по всей линии боевого соприкосновения сторон на Украине.  ◽️ В соответствие с поручением Президента Российской Федерации Министром обороны РФ в войс"
2023-01-09,2023-01-09 07:21,0,unknown,"**Одна цель - один боеприпас  __Кадры применения российскими военнослужащими высокоточных боеприпасов нового поколения в зоне проведения специальной военной операции  __**◽️ Российскими военнослужащими в ходе разведывательных действий с использованием беспилотных летательных аппаратов были вскрыты позиции украинских националистов в укрепленном опорном пункте, а также выдвижение бронетехники против"
2023-01-10,2023-01-10 14:31,0,unknown,**Ювелирная работа  Военные инженеры ВВО продолжают разминирование и очистку территории для прокладки водовода в Донецкой Народной Республике  **__Во многих посёлках Донбасса из-за последствий военных действий до сих пор нет центрального водоснабжения.  __🔎  Для уничтожения неразорвавшихся боеприпасов и мин применяется робототехнический комплекс **«Уран-6»**. Вслед за роботом всю территорию обязат
2023-01-12,2023-01-12 13:04,0,unknown,"**Устроили противнику полный «грАД»: кадры нанесения удара расчетом реактивной системы залпового огня  **__В ходе проведения спецоперации артиллерийские подразделения ВС РФ продолжают выполнять огневые задачи по поражению артиллерийских батарей ВСУ, складов с боеприпасами, разрушению оборонительных сооружений, подавлению пунктов управления, уничтожению огневых средств, вооружения и военной техники"
2023-01-13,2023-01-13 10:47,0,pskov,"⚡️** Сводка Министерства обороны Российской Федерации о ходе проведения специальной военной операции на территории Украины** (13.01.2023 г.)  Часть 1 ([см. часть 2](https://t.me/mod_russia/23395))  **❗️ Вечером 12-го января завершено освобождение города Соледар, который имеет важное значение для продолжения успешных наступательных действий на Донецком направлении.  **◽️ Установление полного контро"
2023-01-15,2023-01-15 16:01,0,unknown,"**Грозные «Акации»: расчеты самоходных артиллерийских установок уничтожают врага **  __Артиллеристы Южного военного округа, поддерживая действия мотострелковых подразделений, продолжают наносить удары по укреплениям противника, скоплениям живой силы и колоннам военной техники ВСУ, доставляющим подкрепление и боеприпасы.  __🤝 При выполнении огневых задач** артиллеристы взаимодействуют с расчетами б"
2023-01-18,2023-01-18 17:19,0,unknown,"**Командуя взводом, взял в плен украинских диверсантов и добыл важные разведданные  **🪖 Подразделение лейтенанта Чермена Шавлохова находилось в боевом охранении. Следуя по маршруту, российские военнослужащие **обнаружили украинскую диверсионную группу.  **◽️ **Чермен, оценив ситуацию, принял решение скрытно подобраться к противнику** и нанести по нему внезапный удар. Заняв выгодные позиции, его по"
2023-01-23,2023-01-23 05:55,0,unknown,"**Прорывая оборону противника:** б**оевая работа танковых экипажей Т-90М по уничтожению объектов и позиций ВСУ в зоне спецоперации **  __Танкисты Южного военного округа выполнили огневое поражение скопления живой силы и военной техники противника, сорвав замысел ВСУ по наступлению на позиции ВС РФ.  __💥 Экипажи современных танков Т-90М «Прорыв» выдвигаются на рубеж открытия огня, подавляют огневые"
2023-01-23,2023-01-23 17:25,0,unknown,"**Ослепил противника и сохранил жизни подчиненных  Старший лейтенант Павел Солдатенков, командуя расчетом зенитного ракетного комплекса «Оса», прикрывал обороняющиеся подразделения ВС РФ от атак с воздуха. В бою противник открыл интенсивный артиллерийский огонь по позициям российских войск.   **💥 Павел Солдатенков вместе со своими подчиненными, применяя технические средства комплекса, **обнаружил "
2023-01-24,2023-01-24 08:59,0,unknown,**Слаженная работа: российский танк под прикрытием БМПТ «Терминатор» уничтожил атакующую группу  пехоты ВСУ на БМП  **◽️ Выдвижение атакующей группы было вскрыто в лесном массиве разведчиками с помощью беспилотных летательных аппаратов.  💥 На встречу боевикам выдвинулся российский экипаж боевой машины поддержки танков «Терминатор» и открыл огонь по наступающим.  ↪️  Экипаж российского танка обошёл
2023-01-24,2023-01-24 20:00,0,unknown,"**🗓 Главное за день  **🇷🇺 Заместитель Министра обороны РФ Тимур Иванов [проинспектировал](https://t.me/mod_russia/23715) ход обустройства причального фронта в Республике Дагестан в рамках рабочей поездки в войска Южного военного округа.  ⚓️ Командующий Северным флотом адмирал Александр Моисеев [вручил государственные награды](https://t.me/mod_russia/23717) военнослужащим, проходящим лечение в Воен"
2023-01-26,2023-01-26 04:00,0,unknown,"**Отразил удары беспилотной авиации и реактивной артиллерии противника  **◽️ **Лейтенант Леонид Каграмян выполнял задачи по защите группировки ВС РФ от ударов с воздуха.** Противник, стремясь уничтожить российские средства противовоздушной обороны, а также поразить объекты военной инфраструктуры, поднял в небо ударную беспилотную авиацию и открыл огонь из реактивных систем залпового огня.   💥 **Ле"
2023-01-27,2023-01-27 11:42,0,unknown,"⚡️ **Сводка Министерства обороны Российской Федерации о ходе проведения специальной военной операции на территории Украины** (27.01.2023 г.)  Часть 1 ([см.часть 2](https://t.me/mod_russia/23786))  **💥 26 января Вооруженными Силами Российской Федерации нанесен массированный ракетный удар высокоточным оружием большой дальности воздушного и морского базирования, а также беспилотными летательными аппа"
2023-01-28,2023-01-28 16:34,0,unknown,"**«Отработали как положено»: боевая работа экипажа Т-72Б3 🅾️тважных в зоне проведения спецоперации  **__Экипажи танков Т-72Б3 ЦВО ежедневно выполняют боевые задачи по уничтожению укреплений, бронетехники и живой силы ВСУ.  __💥 Наводчики-операторы и командиры танков **в круглосуточном режиме наносят поражение противнику **выстрелами 125-мм орудий с закрытых позиций, во взаимодействии с подразделени"
2023-01-29,2023-01-29 17:27,0,unknown,"**Огонь на уничтожение: боевая работа расчета САУ «Мста-С» Южного военного округа  **⤴️ Расчеты артиллерии ЮВО ежедневно наносят поражение живой силе и технике противника с разных огневых рубежей, используя тактику «кочующего орудия».  📐 Передовые корректировщики и операторы БПЛА передают координаты цели, после чего расчет САУ наносит огневое поражение.  💥 Артиллеристы снарядов не жалеют: «...в де"
2023-01-30,2023-01-30 10:01,0,unknown,"**Мы готовы разобрать любого  **💥 Боевая работы экипажей танков Т-72 Южного военного округа, выполняющих огневые задачи по уничтожению бронетехники ВСУ в зоне проведения специальной военной операции.  🎯 Танкисты успешно поражают цели, находящиеся на значительном удалении и вне прямой видимости.  **По координатам, полученным с помощью БпЛА, уничтожаются наблюдательные пункты, склады боеприпасов, а "
2023-01-30,2023-01-30 14:40,0,unknown,"**Артиллерийский дуэт: боевая работа расчетов 152-мм гаубиц «Гиацинт-Б» и РСЗО «Торнадо-Г» ЮВО в ходе уничтожения объектов и позиций ВСУ   ◽️ Для повышения боевой эффективности расчеты ствольной артиллерии и РСЗО «Торнадо-Г» действуют совместно, поддерживая подразделения ВС РФ в наступлении.**   💥 За счет наличия автоматизированной системы наведения и прицеливания, топопривязки и навигации расчет "
2023-02-01,2023-02-01 11:15,0,unknown,"**«Мы понимаем друг друга с полуслова!»  Расчеты реактивных систем залпового огня «Ураган» и «Град» Южного военного округа успешно поразили цели на Херсонском направлении  **__Военнослужащие артиллерийского полка выполняют боевые задачи, уничтожая живую силу и технику подразделений ВСУ.  __◽️ Получив боевую задачу на уничтожение артиллерийского подразделения ВСУ на правой стороне Днепра, боевые ра"
2023-02-06,2023-02-06 20:00,0,unknown,**🗓 Главное за день  **◽️ Министром обороны Российской Федерации генералом армии Сергеем Шойгу даны [указания](https://t.me/mod_russia/23989) командующему российской группировки войск (сил) в Сирии об оказании помощи в ликвидации последствий произошедшего на территории республики землетрясения.   🇷🇺🇹🇷 Министр обороны Российской Федерации генерал армии Сергей Шойгу провел [переговоры](https://t.me/
2023-02-10,2023-02-10 13:41,0,unknown,"**Разведка с воздуха: беспилотники «Орлан-10» помогают расчетам САУ «Акация» Южного военного округа наносить точные удары по противнику в зоне СВО  **🔎 В ходе боевого дежурства расчеты многофункциональных БпЛА «Орлан-10» подразделений ЮВО выполняют пуски беспилотников на тактическую глубину для разведки и поиска целей, дальнейшей корректировки огня различных видов вооружения, а также для видеофикс"
2023-02-10,2023-02-10 20:01,0,unknown,**🗓 Главное за день  🇷🇺🇦🇲** Состоялся [телефонный разговор](https://t.me/mod_russia/24089) Министра обороны Российской Федерации генерала армии Сергея Шойгу с Министром обороны Республики Армения Суреном Папикяном.  💥 На Купянском направлении в результате наступательных действий подразделений «Западной» группировки войск полностью [освобожден](https://t.me/mod_russia/24085) населенный пункт Двуреч
2023-02-11,2023-02-11 09:01,0,unknown,**Контроль с воздуха: боевая работа артиллерии и десантно-штурмовых подразделений ВДВ по опорному пункту ВСУ  **__На одном из направлений в зоне СВО российские десантники в ходе боя уничтожили около 20 украинских националистов.  __◽️ Разведчики с помощью БпЛА **обнаружили** выдвигающееся к лесопосадке для оборудования опорного пункта и склада с боеприпасами подразделение ВСУ.  💥 Их координаты были
2023-02-11,2023-02-11 11:51,0,bryansk,"⚡️** Сводка Министерства обороны Российской Федерации о ходе проведения специальной военной операции** (11.02.2023 г.)  Часть 1 ([см. часть 2](https://t.me/mod_russia/24106))  💥 В течение 10 февраля Вооруженными Силами Российской Федерации **нанесен массированный удар высокоточным оружием большой дальности воздушного, морского и наземного базирования, а также беспилотными летательными аппаратами**"
2023-02-11,2023-02-11 20:00,0,unknown,"🗓 **Главное за день  **💥 В течение 10 февраля Вооруженными Силами Российской Федерации[ нанесен массированный удар](https://t.me/mod_russia/24108) высокоточным оружием большой дальности воздушного, морского и наземного базирования, а также беспилотными летательными аппаратами по критически важным объектам системы энергетики, обеспечивающим функционирование предприятий оборонно-промышленного компле"
2023-02-13,2023-02-13 04:01,0,unknown,"**С ходу захватили опорный пункт ВСУ  Кадры боевой работы бронегруппы российских десантников в зоне СВО  **◽️ Разведгруппа десантников при помощи БпЛА обнаружила в лесном массиве взводный опорный пункт ВСУ.  🔥 Для его захвата и уничтожения было направлено десантно-штурмовое подразделение при поддержке бронегруппы на боевых машинах десанта БМД-2К-АУ, БМПТ «Терминатор» и БТР-Д с зенитно-артиллерийск"
2023-02-14,2023-02-14 11:26,0,unknown,"**Расчеты 120-мм минометов Центрального военного округа уничтожают живую силу и укрепления противника в зоне СВО   **💥 Военнослужащие мотострелкового соединения ЦВО выполняют боевые задачи по уничтожению живой силы и укреплений противника из 120-мм миномета «Поднос».  ◽️ В ходе боевой работы расчеты поражают противника различными типами мин, находясь от него на безопасном расстоянии.   🔎 Точность "
2023-02-14,2023-02-14 20:00,0,vladimir|leningrad,[​​](https://telegra.ph/file/be5eb7c584fd48f8f6c8e.jpg)**🗓 Главное за день  🇷🇺** Президент России Владимир Путин [присвоил](https://t.me/mod_russia/24162) 228 мотострелковому Ленинградско-Павловскому Краснознаменному полку почетное наименование «гвардейский».  ⚡️Киевским режимом при поддержке США и европейских стран завершается подготовка масштабной информационной [провокации](https://t.me/mod_rus
2023-02-15,2023-02-15 04:00,0,unknown,**«Непрекращающийся Град»: боевая работа расчетов РСЗО «Град» ЗВО по уничтожению объектов и замаскированных позиций ВСУ  **💥 В ходе проведения воздушной разведки расчеты БпЛА вскрыли замаскированные позиции ВСУ и передали информацию на командный пункт артиллерии. После получения координат расчеты РСЗО «Град» нанесли удар по позициям противника.  💬 «__Поражаем цели. Настроение хорошее. Готовы и буд
2023-02-15,2023-02-15 14:21,0,unknown,"**На Угледарском направлении: расчеты зенитных ракетных комплексов «Тор-М2» продолжают выполнять боевые задачи в ходе спецоперации  **__Расчеты ЗРК «Тор-М2»** **подразделений морской пехоты ТОФ отслеживают и успешно уничтожают широкий спектр средств воздушного нападения противника, представляющих угрозу наземной группировке наших войск на Угледарском направлении.   __💥 В ходе выполнения боевых зад"
2023-02-16,2023-02-16 08:06,0,unknown,"**Цель уничтожена: расчеты 152-мм гаубиц Д-20 ЮВО уничтожили катер с ДРГ противника, подходивший к левому берегу реки Днепр  **__В ходе проведения специальной военной операции артиллерийские подразделения Южного военного округа продолжают выполнять огневые задачи по недопущению высадки диверсионно-разведывательных групп на левый берег Днепра в Херсонской области, обороняемый нашими десантниками и "
2023-02-19,2023-02-19 12:10,0,bryansk,⚡️** Сводка Министерства обороны Российской Федерации о ходе проведения специальной военной операции** (19.02.2023 г.)  Часть 1 ([см. часть 2](https://t.me/mod_russia/24269))  **Вооруженные Силы Российской Федерации продолжают проведение специальной военной операции. **  💥** Высокоточными ракетами большой дальности морского базирования **поражен пункт дислокации 383-го полка беспилотных летательны
2023-02-21,2023-02-21 20:02,10,belgorod|orenburg,"[​​](https://telegra.ph/file/0907d63edbf2da1fc3c5b.jpg)**🗓 Главное за день  ◽️**В Минобороны России [прокомментировали](https://t.me/mod_russia/24326) появившиеся на отдельных информационных ресурсах экзальтированные заявления о якобы блокировании поставок боеприпасов добровольцам штурмовых отрядов, выполняющих боевые задачи по освобождению города Артемовск Донецкой Народной Республики.   💥 Средст"
2023-02-22,2023-02-22 12:08,0,unknown,"**Российские экипажи танков Т-72А уничтожают объекты ВСУ, расположенные на правобережье Днепра  **💥 В ходе проведения специальной военной операции военнослужащие танковых подразделений Южного военного округа продолжают наносить удары по военным объектам, бронированной технике и живой силе ВСУ, расположенным на правобережье Днепра в южном секторе специальной военной операции.  🎯 Танкисты успешно по"
2023-02-23,2023-02-23 02:00,0,unknown,**Бронегруппы ВДВ при поддержке минометных расчетов и штурмовых подразделений уничтожили большое количество личного состава ВСУ  **🔎 Разведгруппа десантников при помощи БпЛА обнаружила в лесном массиве взводный опорный пункт ВСУ.  Для его захвата и уничтожения было направлено десантно-штурмовое подразделение при поддержке бронегруппы на боевых машинах десанта БМД-2К-АУ в паре с минометными расчета
2023-02-23,2023-02-23 20:36,0,unknown,"⚡️ **Киевский режим активизировал подготовку к вторжению в Приднестровскую Молдавскую Республику  **◽️ Как сообщалось ранее, данная акция вооруженных сил Украины будет проведена в ответ на якобы наступление российских войск с территории Приднестровья.  ◽️ Министерством обороны Российской Федерации в настоящее время фиксируется значительное скопление личного состава и военной техники украинских под"
2023-02-26,2023-02-26 20:00,0,unknown,"**🗓 Главное за день  ◽️ **[На Донецком направлении](https://t.me/mod_russia/24436) в результате активных действий подразделений «Южной» группировки войск, ударов авиации, огня артиллерии и тяжелых огнеметных систем за сутки уничтожено свыше 100 украинских военнослужащих, три боевые бронированные машины, четыре пикапа, самоходная артиллерийская установка «Гвоздика» и гаубица Д-30. Также, в районе н"
2023-02-28,2023-02-28 03:00,0,unknown,"**Мобильная группа разведподразделения ВДВ уничтожила опорный пункт ВСУ  **🪖 Получив задачу, разведгруппа десантников оперативно осуществила сбор и выдвинулась в район ведения разведки на бронеавтомобилях «Тигр».  🔎 В заданном районе группа спешилась и приступила к ведению разведки на линии боевого соприкосновения с помощью беспилотной авиации для обнаружения взводного опорного пункта ВСУ.  🛞 С це"
2023-02-28,2023-02-28 06:00,0,unknown,"**Уничтожение командно-наблюдательного пункта батальона противника расчетом БПЛА «Иноходец»   **💥 Объект был поражен управляемым авиационным боеприпасом.  🔎 Задействованные в специальной военной операции российские беспилотные летательные аппараты осуществляют разведку, корректировку огня, а также боевое применение средств поражения по целям.  🔹 @mod_russia"
2023-02-28,2023-02-28 20:01,0,unknown,"**🗓 Главное за день  **🇷🇺🇦🇲 Состоялась [рабочая встреча](https://t.me/mod_russia/24480) заместителя Министра обороны Российской Федерации генерал-полковника Александра Фомина с заместителем Министра обороны Республики Армения Кареном Брутяном.  ☣️ Начальник войск радиационной, химической и биологической защиты ВС РФ генерал-лейтенант Игорь Кириллов провел [брифинг](https://t.me/mod_russia/24473) о"
