kyiv_precipitation_sum,kyiv_cloudcover_mean,kyiv_visibility_mean,kyiv_windspeed_10m_max,kyiv_weathercode,date,kyiv_night_cloudcover,kyiv_night_visibility,kyiv_night_precipitation,kharkiv_precipitation_sum,kharkiv_cloudcover_mean,kharkiv_visibility_mean,kharkiv_windspeed_10m_max,kharkiv_weathercode,kharkiv_night_cloudcover,kharkiv_night_visibility,kharkiv_night_precipitation,odesa_precipitation_sum,odesa_cloudcover_mean,odesa_visibility_mean,odesa_windspeed_10m_max,odesa_weathercode,odesa_night_cloudcover,odesa_night_visibility,odesa_night_precipitation,zaporizhzhia_precipitation_sum,zaporizhzhia_cloudcover_mean,zaporizhzhia_visibility_mean,zaporizhzhia_windspeed_10m_max,zaporizhzhia_weathercode,zaporizhzhia_night_cloudcover,zaporizhzhia_night_visibility,zaporizhzhia_night_precipitation,avg_precipitation,avg_cloudcover,avg_visibility,avg_windspeed,avg_night_cloudcover,avg_night_visibility,avg_night_precipitation,weather_category
0.0,84,,16.8,3,2022-09-29,69.18181818181819,,0.0,0.1,82,,11.3,51,61.36363636363637,,0.0,0.0,61,,22.7,3,47.90909090909091,,0.0,0.0,80,,13.0,3,70.27272727272727,,0.0,0.025,76.75,,15.95,62.18181818181819,,0.0,Overcast
16.6,92,,19.8,65,2022-10-01,90.9090909090909,,1.4909090909090912,11.7,94,,17.7,65,96.63636363636364,,1.0636363636363635,0.0,76,,17.0,3,73.9090909090909,,0.0,0.0,71,,17.1,3,48.0,,0.0,7.075,83.25,,17.9,77.36363636363637,,0.6386363636363637,Heavy Rain
14.0,99,,33.5,63,2022-10-02,97.72727272727273,,0.7363636363636363,9.9,100,,31.0,61,100.0,,0.19090909090909092,7.1,71,,39.1,61,64.27272727272727,,0.1272727272727273,10.5,97,,31.6,63,92.81818181818181,,0.0818181818181818,10.375,91.75,,33.8,88.70454545454545,,0.28409090909090906,Rain
0.7,80,,21.6,51,2022-10-05,64.18181818181819,,0.009090909090909092,1.8,79,,23.4,53,78.36363636363636,,0.0,0.0,64,,19.1,3,61.54545454545455,,0.0,0.0,46,,18.2,3,38.90909090909091,,0.0,0.625,67.25,,20.575,60.75000000000001,,0.002272727272727273,Drizzle
0.0,42,,15.8,3,2022-10-06,76.0,,0.0,0.0,46,,17.3,3,62.0,,0.0,0.0,75,,16.8,3,63.63636363636363,,0.0,0.0,50,,12.7,3,58.0,,0.0,0.0,53.25,,15.650000000000002,64.9090909090909,,0.0,Overcast
0.0,24,,13.3,3,2022-10-07,50.81818181818182,,0.0,0.0,18,,16.4,3,1.0909090909090908,,0.0,0.0,55,,21.1,3,51.36363636363637,,0.0,0.0,50,,18.0,3,20.818181818181817,,0.0,0.0,36.75,,17.2,31.022727272727273,,0.0,Overcast
0.0,5,,11.5,2,2022-10-08,1.0909090909090908,,0.0,0.0,0,,13.1,0,0.0,,0.0,0.0,44,,18.3,3,55.72727272727273,,0.0,0.0,59,,17.3,3,61.45454545454545,,0.0,0.0,27.0,,15.05,29.56818181818182,,0.0,Partly Cloudy
0.4,66,,19.5,51,2022-10-09,40.09090909090909,,0.0,0.3,41,,12.6,51,36.63636363636363,,0.02727272727272728,0.0,55,,22.6,3,26.90909090909091,,0.0,0.3,97,,14.2,51,94.45454545454545,,0.0,0.25,64.75,,17.225,49.522727272727266,,0.00681818181818182,Drizzle
0.0,16,,23.8,3,2022-10-10,5.0,,0.0,41.1,100,,27.4,63,100.0,,1.3454545454545455,0.0,8,,26.4,3,12.0,,0.0,1.6,69,,28.8,53,61.09090909090909,,0.018181818181818184,10.675,48.25,,26.599999999999998,44.52272727272727,,0.3409090909090909,Overcast
0.0,19,,9.4,3,2022-10-11,4.363636363636363,,0.0,5.0,81,,27.0,55,65.0,,0.4,0.0,18,,12.1,3,15.545454545454545,,0.0,0.3,60,,29.4,51,75.45454545454545,,0.02727272727272728,1.325,44.5,,19.475,40.09090909090909,,0.10681818181818183,Overcast
0.3,46,,8.6,51,2022-10-13,31.454545454545453,,0.0,0.0,87,,11.3,3,87.45454545454545,,0.0,0.0,91,,16.8,3,85.36363636363636,,0.0,0.0,68,,16.6,3,53.18181818181818,,0.0,0.075,73.0,,13.325000000000001,64.36363636363636,,0.0,Drizzle
0.0,17,,13.7,3,2022-10-15,11.636363636363637,,0.0,0.0,27,,12.3,3,19.545454545454547,,0.0,0.0,29,,21.7,3,17.545454545454547,,0.0,0.0,12,,18.1,2,24.272727272727273,,0.0,0.0,21.25,,16.450000000000003,18.25,,0.0,Overcast
